qz,qxy,intensity
1.98063,1.01786,80.717
1.98063,1.02679,79.016
1.98063,1.03571,76.315
1.98063,1.04464,76.614
1.98063,1.05357,75.429
1.98063,1.0625,74.418
1.98063,1.07143,73.19
1.98063,1.08036,70.663
1.98063,1.08929,73.908
1.98063,1.09821,70.267
1.98063,1.10714,71.039
1.98063,1.11607,68.039
1.98063,1.125,64.74
1.98063,1.13393,63.914
1.98063,1.14286,61.686
1.98063,1.15179,59.931
1.98063,1.16071,59.817
1.98063,1.16964,58.062
1.98063,1.17857,58.948
1.98063,1.1875,55.948
1.98063,1.19643,57.948
1.98063,1.20536,57.361
1.98063,1.21429,57.361
1.98063,1.22321,57.133
1.98063,1.23214,57.133
1.98063,1.24107,57.133
1.98063,1.25,57.133
1.98063,1.25893,57.133
1.98063,1.26786,57.247
1.98063,1.27679,57.247
1.98063,1.28571,57.247
1.98063,1.29464,57.247
1.98063,1.30357,57.247
1.98063,1.3125,57.247
1.98063,1.32143,57.247
1.98063,1.33036,57.247
1.98063,1.33929,57.247
1.98063,1.34821,57.247
1.98063,1.35714,57.247
1.98063,1.36607,57.247
1.98063,1.375,57.247
1.98063,1.38393,57.247
1.98063,1.39286,57.247
1.98063,1.40179,57.247
1.98063,1.41071,57.247
1.98063,1.41964,57.247
1.98063,1.42857,57.247
1.98063,1.4375,57.247
1.98063,1.44643,57.247
1.98063,1.45536,57.247
1.98063,1.46429,57.247
1.98063,1.47321,57.247
1.98063,1.48214,57.247
1.98063,1.49107,57.247
1.98063,1.5,57.247
1.98063,1.50893,57.247
1.98063,1.51786,57.247
1.97094,0,76.156
1.97094,0.00892857,58.025
1.97094,0.0178571,57.671
1.97094,0.0267857,56.856
1.97094,0.0357143,57.215
1.97094,0.0446429,57.215
1.97094,0.0535714,57.215
1.97094,0.0625,57.215
1.97094,0.0714286,57.215
1.97094,0.0803571,57.215
1.97094,0.0892857,57.215
1.97094,0.0982143,57.215
1.97094,0.107143,57.215
1.97094,0.116071,57.215
1.97094,0.125,57.215
1.97094,0.133929,57.215
1.97094,0.142857,57.215
1.97094,0.151786,57.215
1.97094,0.160714,57.215
1.97094,0.169643,57.215
1.97094,0.178571,57.215
1.97094,0.1875,57.215
1.97094,0.196429,57.215
1.97094,0.205357,57.215
1.97094,0.214286,57.215
1.97094,0.223214,57.215
1.97094,0.232143,57.215
1.97094,0.241071,57.215
1.97094,0.25,57.215
1.97094,0.258929,57.215
1.97094,0.267857,57.215
1.97094,0.276786,57.215
1.97094,0.285714,57.215
1.97094,0.294643,57.215
1.97094,0.303571,57.454
1.97094,0.3125,56.927
1.97094,0.321429,57.09
1.97094,0.330357,57.677
1.97094,0.339286,54.574
1.97094,0.348214,57.824
1.97094,0.357143,57.215
1.97094,0.366071,58.783
1.97094,0.375,90.086
1.97094,0.383929,89.59
1.97094,0.392857,89.356
1.97094,0.401786,90.193
1.97094,0.410714,89.068
1.97094,0.419643,86.862
1.97094,0.428571,86.389
1.97094,0.4375,87.09
1.97094,0.446429,85.09
1.97094,0.455357,85.09
1.97094,0.464286,86.09
1.97094,0.473214,85.09
1.97094,0.482143,86.09
1.97094,0.491071,83.791
1.97094,0.5,84.791
1.97094,0.508929,83.791
1.97094,0.517857,83.791
1.97094,0.526786,84.09
1.97094,0.535714,84.09
1.97094,0.544643,84.09
1.97094,0.553571,83.09
1.97094,0.5625,83.802
1.97094,0.571429,82.503
1.97094,0.580357,83.079
1.97094,0.589286,84.079
1.97094,0.598214,83.492
1.97094,0.607143,84.09
1.97094,0.616071,83.503
1.97094,0.625,83.802
1.97094,0.633929,84.802
1.97094,0.642857,84.688
1.97094,0.651786,84.987
1.97094,0.660714,84.645
1.97094,0.669643,84.357
1.97094,0.678571,84.656
1.97094,0.6875,84.966
1.97094,0.696429,85.45
1.97094,0.705357,86.461
1.97094,0.714286,86.934
1.97094,0.723214,87.233
1.97094,0.732143,88.244
1.97094,0.741071,88.842
1.97094,0.75,88.739
1.97094,0.758929,88.451
1.97094,0.767857,89.462
1.97094,0.776786,90.174
1.97094,0.785714,91.533
1.97094,0.794643,91.658
1.97094,0.803571,92.555
1.97094,0.8125,92.523
1.97094,0.821429,92.833
1.97094,0.830357,92.844
1.97094,0.839286,93.627
1.97094,0.848214,92.627
1.97094,0.857143,93.339
1.97094,0.866071,92.35
1.97094,0.875,92.084
1.97094,0.883929,92.106
1.97094,0.892857,92.405
1.97094,0.901786,92.383
1.97094,0.910714,91.959
1.97094,0.919643,92.166
1.97094,0.928571,90.889
1.97094,0.9375,89.9
1.97094,0.946429,90.21
1.97094,0.955357,88.933
1.97094,0.964286,86.656
1.97094,0.973214,86.254
1.97094,0.982143,87.325
1.97094,0.991071,84.265
1.97094,1,85.265
1.97094,1.00893,83.863
1.97094,1.01786,83.287
1.97094,1.02679,81.298
1.97094,1.03571,80.896
1.97094,1.04464,77.01
1.97094,1.05357,78.124
1.97094,1.0625,75.825
1.97094,1.07143,73.711
1.97094,1.08036,75.483
1.97094,1.08929,72.842
1.97094,1.09821,73.614
1.97094,1.10714,72.5
1.97094,1.11607,70.745
1.97094,1.125,68.278
1.97094,1.13393,65.523
1.97094,1.14286,66.295
1.97094,1.15179,65.953
1.97094,1.16071,64.426
1.97094,1.16964,58.557
1.97094,1.17857,61.329
1.97094,1.1875,57.215
1.97094,1.19643,58.215
1.97094,1.20536,57.215
1.97094,1.21429,57.215
1.97094,1.22321,57.101
1.97094,1.23214,57.101
1.97094,1.24107,57.688
1.97094,1.25,57.688
1.97094,1.25893,57.101
1.97094,1.26786,57.215
1.97094,1.27679,57.215
1.97094,1.28571,57.215
1.97094,1.29464,57.215
1.97094,1.30357,57.215
1.97094,1.3125,57.215
1.97094,1.32143,57.215
1.97094,1.33036,57.215
1.97094,1.33929,57.215
1.97094,1.34821,57.215
1.97094,1.35714,57.215
1.97094,1.36607,57.215
1.97094,1.375,57.215
